,index,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary-class
4448,7937,"[15, 20[",Private,118352,Some-college,10,Never-married,Other-service, Own-child,*,Female,0,0,16,United-States, <=50K
4449,7938,"[20, 25[",Private,117210,HS-grad,9,Never-married,Machine-op-inspct, Own-child,*,Male,0,0,40,United-States, <=50K
4450,7943,"[15, 20[",Private,281704,Some-college,10,Never-married,Other-service, Not-in-family,*,Male,0,0,35,United-States, <=50K
4451,7944,"[50, 55[",Private,123011,Some-college,10,Married-civ-spouse,Sales, Husband,*,Male,0,0,45,United-States, >50K
4452,7949,"[45, 50[",Private,384795,Bachelors,13,Divorced,Prof-specialty, Unmarried,*,Female,0,0,32,United-States, <=50K
4453,7950,"[30, 35[",Private,175931,Some-college,10,Married-civ-spouse,Handlers-cleaners, Husband,*,Male,0,0,44,United-States, <=50K
4454,7952,"[45, 50[",Private,118717,Bachelors,13,Divorced,Prof-specialty, Not-in-family,*,Female,0,0,40,United-States, <=50K
4455,7954,"[20, 25[",Private,176486,Assoc-voc,11,Never-married,Adm-clerical, Own-child,*,Female,0,0,36,United-States, <=50K
4456,7955,"[45, 50[",Private,273435,HS-grad,9,Married-civ-spouse,Craft-repair, Husband,*,Male,0,0,40,United-States, <=50K
4457,7956,"[20, 25[",Private,182661,Some-college,10,Never-married,Sales, Own-child,*,Male,0,0,20,United-States, <=50K
4458,7959,"[45, 50[",Private,165152,HS-grad,9,Married-civ-spouse,Sales, Husband,*,Male,0,0,48,United-States, >50K
4459,7963,"[15, 20[",?,26620,Some-college,10,Never-married,?, Own-child,*,Female,0,0,40,United-States, <=50K
4460,7965,"[35, 40[",Private,148581,HS-grad,9,Married-civ-spouse,Craft-repair, Husband,*,Male,0,1740,40,United-States, <=50K
4461,7966,"[45, 50[",Private,459189,Some-college,10,Married-civ-spouse,Craft-repair, Husband,*,Male,0,1902,50,United-States, >50K
4462,7968,"[55, 60[",Private,289364,Some-college,10,Married-civ-spouse,Exec-managerial, Husband,*,Male,7688,0,45,United-States, >50K
4463,7969,"[20, 25[",Private,174907,HS-grad,9,Never-married,Adm-clerical, Own-child,*,Female,0,0,40,United-States, <=50K
4464,7972,"[30, 35[",Private,31600,Bachelors,13,Never-married,Prof-specialty, Not-in-family,*,Female,0,0,40,United-States, <=50K
4465,7974,"[35, 40[",Self-emp-not-inc,181705,HS-grad,9,Married-civ-spouse,Craft-repair, Husband,*,Male,3103,0,40,United-States, >50K
4466,7975,"[30, 35[",Private,238912,Doctorate,16,Married-civ-spouse,Prof-specialty, Husband,*,Male,0,0,60,United-States, >50K
4467,7976,"[30, 35[",Private,134737,Masters,14,Married-civ-spouse,Prof-specialty, Husband,*,Male,7688,0,55,United-States, >50K
4468,7978,"[35, 40[",Private,197429,HS-grad,9,Married-civ-spouse,Handlers-cleaners, Husband,*,Male,0,0,45,United-States, >50K
4469,7979,"[45, 50[",Private,47343,Masters,14,Married-civ-spouse,Prof-specialty, Husband,*,Male,0,0,40,United-States, >50K
4470,7981,"[20, 25[",Private,249957,Some-college,10,Never-married,Exec-managerial, Own-child,*,Male,0,0,40,United-States, <=50K
4471,7983,"[50, 55[",Private,192982,HS-grad,9,Married-civ-spouse,Tech-support, Husband,*,Male,0,1848,40,United-States, >50K
4472,7984,"[40, 45[",Private,209547,Bachelors,13,Married-civ-spouse,Sales, Husband,*,Male,0,1977,60,United-States, >50K
4473,7986,"[50, 55[",Federal-gov,190333,Some-college,10,Married-civ-spouse,Craft-repair, Husband,*,Male,0,0,40,United-States, <=50K
4474,7988,"[40, 45[",Private,166740,HS-grad,9,Married-civ-spouse,Machine-op-inspct, Husband,*,Male,0,0,40,United-States, <=50K
4475,7989,"[45, 50[",Local-gov,174533,Assoc-voc,11,Married-civ-spouse,Exec-managerial, Husband,*,Male,0,0,40,United-States, >50K
4476,7992,"[40, 45[",Private,144067,Assoc-voc,11,Married-civ-spouse,Craft-repair, Husband,*,Male,0,0,40,United-States, <=50K
4477,7993,"[35, 40[",Private,106964,HS-grad,9,Married-civ-spouse,Machine-op-inspct, Husband,*,Male,0,0,40,United-States, <=50K
4478,7994,"[35, 40[",Private,178136,HS-grad,9,Married-civ-spouse,Machine-op-inspct, Husband,*,Male,0,0,40,United-States, <=50K
4479,7996,"[40, 45[",Self-emp-not-inc,403550,Some-college,10,Married-civ-spouse,Craft-repair, Husband,*,Male,0,0,50,United-States, <=50K
4480,7997,"[35, 40[",Private,498216,Bachelors,13,Divorced,Exec-managerial, Unmarried,*,Female,0,0,40,United-States, <=50K
4481,7998,"[45, 50[",Self-emp-not-inc,192755,HS-grad,9,Married-civ-spouse,Machine-op-inspct, Wife,*,Female,0,0,20,United-States, >50K
4482,7999,"[20, 25[",?,53738,Some-college,10,Never-married,?, Own-child,*,Male,0,0,60,United-States, <=50K
4483,8000,"[30, 35[",Private,156192,Masters,14,Married-civ-spouse,Prof-specialty, Husband,*,Male,0,0,45,United-States, >50K
4484,8001,"[45, 50[",Private,189802,Some-college,10,Divorced,Adm-clerical, Not-in-family,*,Female,0,0,40,United-States, <=50K
4485,8002,"[65, 70[",?,213149,Some-college,10,Married-civ-spouse,?, Husband,*,Male,0,1825,40,United-States, >50K
4486,8005,"[20, 25[",Private,189830,Some-college,10,Married-civ-spouse,Other-service, Husband,*,Male,0,0,50,United-States, <=50K
4487,8006,"[15, 20[",Private,127190,HS-grad,9,Never-married,Other-service, Own-child,*,Female,0,0,15,United-States, <=50K
4488,8008,"[20, 25[",Private,138107,HS-grad,9,Never-married,Handlers-cleaners, Own-child,*,Male,0,0,35,United-States, <=50K
4489,8009,"[40, 45[",Self-emp-inc,269733,Bachelors,13,Married-civ-spouse,Sales, Husband,*,Male,0,0,30,United-States, <=50K
4490,8010,"[40, 45[",State-gov,227734,HS-grad,9,Married-civ-spouse,Adm-clerical, Husband,*,Male,3464,0,40,United-States, <=50K
4491,8011,"[15, 20[",Private,318822,Some-college,10,Never-married,Adm-clerical, Other-relative,*,Female,0,0,40,United-States, <=50K
4492,8012,"[45, 50[",Private,48885,HS-grad,9,Divorced,Other-service, Not-in-family,*,Female,0,0,35,United-States, <=50K
4493,8013,"[45, 50[",Private,205424,Some-college,10,Married-civ-spouse,Sales, Husband,*,Male,0,0,65,United-States, >50K
4494,8015,"[30, 35[",Private,202450,HS-grad,9,Married-civ-spouse,Craft-repair, Husband,*,Male,0,0,55,United-States, >50K
4495,8016,"[20, 25[",Private,154779,Some-college,10,Never-married,Sales, Other-relative,*,Female,0,0,40,United-States, <=50K
4496,8018,"[30, 35[",Private,177522,HS-grad,9,Married-civ-spouse,Adm-clerical, Own-child,*,Female,0,0,20,United-States, <=50K
4497,8021,"[45, 50[",State-gov,85384,Some-college,10,Married-civ-spouse,Craft-repair, Husband,*,Male,0,0,40,United-States, >50K
4498,8023,"[40, 45[",Private,69019,Some-college,10,Married-civ-spouse,Craft-repair, Husband,*,Male,0,0,40,United-States, >50K
4499,8024,"[20, 25[",Private,112847,HS-grad,9,Never-married,Adm-clerical, Own-child,*,Male,0,0,40,United-States, <=50K
4500,8025,"[60, 65[",Self-emp-not-inc,52900,HS-grad,9,Married-civ-spouse,Craft-repair, Husband,*,Male,0,0,42,United-States, >50K
4501,8026,"[40, 45[",Private,37937,Bachelors,13,Married-civ-spouse,Exec-managerial, Husband,*,Male,0,0,55,United-States, >50K
4502,8028,"[45, 50[",Private,114770,HS-grad,9,Divorced,Other-service, Own-child,*,Female,0,0,32,United-States, <=50K
4503,8030,"[30, 35[",Private,176469,Bachelors,13,Never-married,Sales, Not-in-family,*,Male,0,0,38,United-States, <=50K
4504,8032,"[35, 40[",Federal-gov,410034,HS-grad,9,Married-civ-spouse,Adm-clerical, Husband,*,Male,0,0,40,United-States, <=50K
4505,8036,"[50, 55[",Private,608184,Bachelors,13,Married-civ-spouse,Exec-managerial, Husband,*,Male,0,1902,40,United-States, >50K
4506,8038,"[40, 45[",Self-emp-not-inc,35166,Bachelors,13,Married-civ-spouse,Farming-fishing, Husband,*,Male,0,0,90,United-States, <=50K
4507,8039,"[45, 50[",Self-emp-inc,182655,Assoc-voc,11,Married-civ-spouse,Exec-managerial, Husband,*,Male,0,0,60,United-States, >50K
4508,8042,"[20, 25[",?,219233,HS-grad,9,Never-married,?, Own-child,*,Male,0,1602,30,United-States, <=50K
4509,8043,"[20, 25[",Private,228686,Some-college,10,Never-married,Other-service, Not-in-family,*,Male,0,0,45,United-States, <=50K
4510,8047,"[60, 65[",Private,153891,Bachelors,13,Married-civ-spouse,Exec-managerial, Husband,*,Male,0,0,50,United-States, >50K
4511,8048,"[50, 55[",Private,190909,HS-grad,9,Married-civ-spouse,Exec-managerial, Husband,*,Male,0,0,40,United-States, >50K
4512,8050,"[40, 45[",Private,89073,HS-grad,9,Married-civ-spouse,Prof-specialty, Husband,*,Male,0,0,48,United-States, <=50K
4513,8051,"[35, 40[",Federal-gov,238342,Bachelors,13,Married-civ-spouse,Sales, Husband,*,Male,7688,0,42,United-States, >50K
4514,8057,"[35, 40[",?,216256,HS-grad,9,Married-civ-spouse,?, Husband,*,Male,3464,0,30,United-States, <=50K
4515,8060,"[45, 50[",Private,155659,HS-grad,9,Married-civ-spouse,Exec-managerial, Husband,*,Male,0,0,60,United-States, <=50K
4516,8064,"[30, 35[",Federal-gov,334346,Bachelors,13,Married-civ-spouse,Exec-managerial, Husband,*,Male,0,0,40,United-States, >50K
4517,8065,"[25, 30[",Private,181597,Some-college,10,Married-civ-spouse,Machine-op-inspct, Husband,*,Male,0,0,40,United-States, <=50K
4518,8070,"[15, 20[",Private,271521,HS-grad,9,Never-married,Other-service, Other-relative,*,Male,0,0,24,United-States, <=50K
4519,8071,"[15, 20[",Private,51255,11th,7,Never-married,Handlers-cleaners, Own-child,*,Male,0,0,15,United-States, <=50K
4520,8074,"[35, 40[",State-gov,177974,HS-grad,9,Married-civ-spouse,Protective-serv, Husband,*,Male,0,0,40,United-States, >50K
4521,8076,"[50, 55[",Self-emp-inc,136913,HS-grad,9,Married-civ-spouse,Farming-fishing, Husband,*,Male,0,0,50,United-States, <=50K
4522,8077,"[40, 45[",State-gov,230961,HS-grad,9,Married-civ-spouse,Craft-repair, Husband,*,Male,0,0,40,United-States, <=50K
4523,8079,"[45, 50[",Private,120131,HS-grad,9,Married-civ-spouse,Exec-managerial, Husband,*,Male,0,0,40,United-States, <=50K
4524,8082,"[15, 20[",Private,136866,HS-grad,9,Never-married,Craft-repair, Own-child,*,Male,0,0,45,United-States, <=50K
4525,8091,"[55, 60[",Private,108496,Masters,14,Married-civ-spouse,Exec-managerial, Husband,*,Male,0,0,45,United-States, >50K
4526,8095,"[20, 25[",Private,304386,HS-grad,9,Never-married,Other-service, Own-child,*,Female,0,0,30,United-States, <=50K
4527,8097,"[35, 40[",Private,165215,Masters,14,Married-civ-spouse,Prof-specialty, Wife,*,Female,0,1902,18,United-States, >50K
4528,8101,"[30, 35[",Private,248795,HS-grad,9,Never-married,Machine-op-inspct, Not-in-family,*,Female,0,0,45,United-States, <=50K
4529,8102,"[40, 45[",Self-emp-not-inc,124692,HS-grad,9,Married-civ-spouse,Prof-specialty, Husband,*,Male,0,1902,40,United-States, >50K
4530,8103,"[35, 40[",Local-gov,128054,Some-college,10,Divorced,Adm-clerical, Unmarried,*,Female,0,0,40,United-States, <=50K
4531,8105,"[30, 35[",Self-emp-inc,113543,Prof-school,15,Married-civ-spouse,Prof-specialty, Husband,*,Male,0,0,40,United-States, >50K
4532,8106,"[20, 25[",Private,252153,Some-college,10,Never-married,Other-service, Not-in-family,*,Female,0,0,28,United-States, <=50K
4533,8111,"[20, 25[",Private,34918,HS-grad,9,Never-married,Sales, Own-child,*,Female,0,0,30,United-States, <=50K
4534,8113,"[30, 35[",Private,132996,HS-grad,9,Married-civ-spouse,Prof-specialty, Husband,*,Male,5178,0,45,United-States, >50K
4535,8117,"[35, 40[",Self-emp-not-inc,198841,Prof-school,15,Married-civ-spouse,Prof-specialty, Husband,*,Male,0,0,50,United-States, >50K
4536,8118,"[40, 45[",Private,282964,Bachelors,13,Divorced,Exec-managerial, Unmarried,*,Female,0,0,40,United-States, <=50K
4537,8121,"[30, 35[",Private,200246,Bachelors,13,Married-civ-spouse,Exec-managerial, Husband,*,Male,0,0,40,United-States, >50K
4538,8122,"[25, 30[",Private,182771,Some-college,10,Never-married,Sales, Own-child,*,Male,0,0,40,United-States, <=50K
4539,8127,"[25, 30[",Private,332187,Bachelors,13,Never-married,Adm-clerical, Not-in-family,*,Female,0,0,65,United-States, <=50K
4540,8129,"[15, 20[",Private,111332,11th,7,Never-married,Sales, Own-child,*,Female,0,0,20,United-States, <=50K
4541,8130,"[55, 60[",Local-gov,238431,HS-grad,9,Divorced,Adm-clerical, Unmarried,*,Female,0,0,38,United-States, <=50K
4542,8131,"[30, 35[",Private,131552,HS-grad,9,Never-married,Other-service, Own-child,*,Female,0,0,40,United-States, <=50K
4543,8133,"[30, 35[",State-gov,255830,Assoc-acdm,12,Never-married,Adm-clerical, Own-child,*,Female,0,0,45,United-States, <=50K
4544,8134,"[15, 20[",?,175648,11th,7,Never-married,?, Own-child,*,Male,0,0,40,United-States, <=50K
4545,8135,"[20, 25[",Private,82998,Some-college,10,Never-married,Sales, Not-in-family,*,Male,0,0,30,United-States, <=50K
4546,8136,"[15, 20[",Private,164320,HS-grad,9,Never-married,Transport-moving, Own-child,*,Male,0,0,40,United-States, <=50K
4547,8139,"[35, 40[",Local-gov,229651,Bachelors,13,Married-civ-spouse,Prof-specialty, Husband,*,Male,0,0,50,United-States, >50K
4548,8141,"[15, 20[",Private,269657,Some-college,10,Never-married,Sales, Not-in-family,*,Female,0,0,35,United-States, <=50K
4549,8142,"[35, 40[",Local-gov,82880,Bachelors,13,Married-civ-spouse,Prof-specialty, Wife,*,Female,0,0,15,United-States, <=50K
4550,8143,"[15, 20[",Private,389755,HS-grad,9,Never-married,Handlers-cleaners, Own-child,*,Male,0,0,16,United-States, <=50K
4551,8144,"[30, 35[",Private,195136,Bachelors,13,Married-civ-spouse,Prof-specialty, Wife,*,Female,0,1887,40,United-States, >50K
4552,8148,"[20, 25[",Private,50341,Bachelors,13,Never-married,Adm-clerical, Not-in-family,*,Female,0,0,40,United-States, <=50K
4553,8150,"[45, 50[",Private,114032,Prof-school,15,Married-civ-spouse,Prof-specialty, Husband,*,Male,0,0,60,United-States, >50K
4554,8151,"[45, 50[",Private,192053,HS-grad,9,Married-civ-spouse,Exec-managerial, Husband,*,Male,0,0,60,United-States, >50K
4555,8153,"[40, 45[",Private,44402,Bachelors,13,Married-civ-spouse,Sales, Husband,*,Male,0,0,60,United-States, <=50K
4556,8154,"[35, 40[",Self-emp-not-inc,191503,Some-college,10,Married-civ-spouse,Sales, Husband,*,Male,0,0,50,United-States, <=50K
4557,8155,"[30, 35[",Private,163530,HS-grad,9,Divorced,Other-service, Unmarried,*,Female,0,0,40,United-States, <=50K
4558,8157,"[55, 60[",Private,121912,Some-college,10,Married-civ-spouse,Exec-managerial, Husband,*,Male,0,0,40,United-States, >50K
4559,8158,"[30, 35[",Local-gov,58624,HS-grad,9,Never-married,Transport-moving, Own-child,*,Male,0,0,40,United-States, <=50K
4560,8159,"[25, 30[",Local-gov,74056,Bachelors,13,Never-married,Tech-support, Not-in-family,*,Male,0,0,50,United-States, <=50K
4561,8166,"[60, 65[",Private,147473,HS-grad,9,Married-civ-spouse,Sales, Husband,*,Male,0,0,40,United-States, <=50K
4562,8168,"[20, 25[",?,388811,Some-college,10,Never-married,?, Own-child,*,Female,0,0,40,United-States, <=50K
4563,8169,"[25, 30[",Private,221912,HS-grad,9,Never-married,Handlers-cleaners, Own-child,*,Male,0,0,40,United-States, <=50K
4564,8170,"[30, 35[",Private,48189,HS-grad,9,Married-civ-spouse,Transport-moving, Husband,*,Male,0,0,45,United-States, <=50K
4565,8171,"[25, 30[",State-gov,382272,Bachelors,13,Never-married,Craft-repair, Not-in-family,*,Male,0,0,40,United-States, <=50K
4566,8173,"[40, 45[",Private,143046,Bachelors,13,Never-married,Prof-specialty, Not-in-family,*,Female,0,1564,38,United-States, >50K
4567,8174,"[60, 65[",Self-emp-inc,137940,Prof-school,15,Married-civ-spouse,Prof-specialty, Husband,*,Male,15024,0,50,United-States, >50K
4568,8175,"[25, 30[",Private,249571,HS-grad,9,Married-civ-spouse,Sales, Husband,*,Male,0,0,40,United-States, <=50K
4569,8177,"[35, 40[",Private,224531,HS-grad,9,Married-civ-spouse,Craft-repair, Husband,*,Male,7298,0,40,United-States, >50K
4570,8181,"[20, 25[",Private,107801,Assoc-acdm,12,Never-married,Other-service, Own-child,*,Female,0,2205,18,United-States, <=50K
4571,8182,"[40, 45[",Private,191256,HS-grad,9,Married-civ-spouse,Transport-moving, Husband,*,Male,0,0,65,United-States, >50K
4572,8183,"[45, 50[",Private,256866,HS-grad,9,Married-civ-spouse,Transport-moving, Husband,*,Male,0,0,48,United-States, <=50K
4573,8188,"[40, 45[",Private,242488,Some-college,10,Married-civ-spouse,Adm-clerical, Husband,*,Male,5013,0,40,United-States, <=50K
4574,8189,"[20, 25[",?,234970,Some-college,10,Never-married,?, Own-child,*,Female,0,0,40,United-States, <=50K
4575,8194,"[20, 25[",Private,188950,Some-college,10,Never-married,Tech-support, Own-child,*,Male,0,0,40,United-States, <=50K
4576,8195,"[35, 40[",Private,201328,Bachelors,13,Married-civ-spouse,Prof-specialty, Husband,*,Male,0,0,50,United-States, >50K
4577,8196,"[20, 25[",Private,218678,Some-college,10,Never-married,Sales, Not-in-family,*,Male,0,0,49,United-States, <=50K
4578,8198,"[35, 40[",Federal-gov,200968,Some-college,10,Married-civ-spouse,Adm-clerical, Other-relative,*,Male,0,0,45,United-States, >50K
4579,8199,"[25, 30[",Private,102264,Some-college,10,Never-married,Craft-repair, Not-in-family,*,Male,0,0,40,United-States, <=50K
4580,8200,"[20, 25[",Private,300584,HS-grad,9,Never-married,Handlers-cleaners, Unmarried,*,Male,0,0,40,United-States, <=50K
4581,8201,"[20, 25[",Private,208946,Some-college,10,Never-married,Adm-clerical, Own-child,*,Male,0,0,25,United-States, <=50K
4582,8202,"[35, 40[",Private,105021,Bachelors,13,Married-civ-spouse,Prof-specialty, Husband,*,Male,0,0,55,United-States, <=50K
4583,8204,"[15, 20[",Private,274057,11th,7,Never-married,Other-service, Own-child,*,Male,0,0,8,United-States, <=50K
4584,8205,"[35, 40[",Private,132879,Bachelors,13,Married-civ-spouse,Exec-managerial, Husband,*,Male,0,0,40,United-States, >50K
4585,8208,"[40, 45[",Private,356934,Masters,14,Married-civ-spouse,Exec-managerial, Husband,*,Male,0,0,40,United-States, >50K
4586,8209,"[35, 40[",Private,154410,Bachelors,13,Married-civ-spouse,Exec-managerial, Husband,*,Male,0,0,50,United-States, >50K
4587,8210,"[30, 35[",Private,35378,Some-college,10,Divorced,Adm-clerical, Not-in-family,*,Female,0,0,45,United-States, <=50K
4588,8213,"[35, 40[",Private,108140,Masters,14,Married-civ-spouse,Exec-managerial, Husband,*,Male,15024,0,45,United-States, >50K
4589,8215,"[20, 25[",Private,157332,HS-grad,9,Never-married,Other-service, Own-child,*,Female,0,0,35,United-States, <=50K
4590,8217,"[30, 35[",Private,173495,HS-grad,9,Never-married,Other-service, Own-child,*,Male,0,0,35,United-States, <=50K
4591,8220,"[45, 50[",Private,125120,Some-college,10,Married-civ-spouse,Adm-clerical, Wife,*,Female,0,0,37,United-States, <=50K
4592,8221,"[20, 25[",Private,190429,Some-college,10,Never-married,Other-service, Not-in-family,*,Female,0,0,40,United-States, <=50K
4593,8223,"[45, 50[",Private,248164,Bachelors,13,Married-civ-spouse,Sales, Husband,*,Male,4386,0,50,United-States, >50K
4594,8226,"[35, 40[",Self-emp-inc,196373,Bachelors,13,Married-civ-spouse,Exec-managerial, Husband,*,Male,0,0,45,United-States, >50K
4595,8227,"[30, 35[",Private,433788,Some-college,10,Married-civ-spouse,Transport-moving, Husband,*,Male,0,0,40,United-States, >50K
4596,8228,"[45, 50[",State-gov,122086,HS-grad,9,Married-civ-spouse,Protective-serv, Husband,*,Male,0,0,40,United-States, <=50K
4597,8230,"[40, 45[",Self-emp-not-inc,33068,HS-grad,9,Married-civ-spouse,Farming-fishing, Husband,*,Male,0,0,50,United-States, <=50K
4598,8232,"[25, 30[",Local-gov,117833,Bachelors,13,Never-married,Prof-specialty, Not-in-family,*,Female,4865,0,35,United-States, <=50K
4599,8233,"[35, 40[",State-gov,103474,HS-grad,9,Never-married,Other-service, Own-child,*,Female,0,0,40,United-States, <=50K
4600,8236,"[40, 45[",Private,52781,Some-college,10,Married-civ-spouse,Tech-support, Husband,*,Male,0,0,40,United-States, <=50K
4601,8241,"[20, 25[",?,194096,Some-college,10,Never-married,?, Own-child,*,Female,0,0,40,United-States, <=50K
4602,8242,"[25, 30[",Private,263831,Bachelors,13,Never-married,Adm-clerical, Own-child,*,Female,0,0,40,United-States, <=50K
4603,8245,"[20, 25[",Self-emp-inc,40767,Some-college,10,Married-civ-spouse,Craft-repair, Husband,*,Male,0,0,40,United-States, <=50K
4604,8246,"[30, 35[",Federal-gov,355789,HS-grad,9,Never-married,Adm-clerical, Not-in-family,*,Female,0,0,50,United-States, <=50K
4605,8247,"[40, 45[",Local-gov,311914,Some-college,10,Divorced,Adm-clerical, Not-in-family,*,Female,0,0,40,United-States, <=50K
4606,8249,"[40, 45[",Federal-gov,344060,Prof-school,15,Married-civ-spouse,Prof-specialty, Husband,*,Male,0,0,40,United-States, >50K
4607,8251,"[45, 50[",State-gov,185800,Masters,14,Divorced,Prof-specialty, Unmarried,*,Female,7430,0,40,United-States, >50K
4608,8252,"[30, 35[",Private,76107,HS-grad,9,Never-married,Transport-moving, Not-in-family,*,Male,0,0,45,United-States, >50K
4609,8253,"[20, 25[",Private,117618,Some-college,10,Never-married,Handlers-cleaners, Own-child,*,Male,0,0,35,United-States, <=50K
4610,8255,"[30, 35[",Private,136480,Bachelors,13,Married-civ-spouse,Sales, Husband,*,Male,0,0,60,United-States, >50K
4611,8256,"[50, 55[",Private,285200,Some-college,10,Married-civ-spouse,Craft-repair, Husband,*,Male,0,1887,35,United-States, >50K
4612,8258,"[35, 40[",Private,1226583,Bachelors,13,Married-civ-spouse,Sales, Husband,*,Male,0,0,52,United-States, >50K
4613,8259,"[20, 25[",Private,195767,HS-grad,9,Never-married,Craft-repair, Not-in-family,*,Male,0,0,40,United-States, <=50K
4614,8260,"[25, 30[",Private,187540,Some-college,10,Never-married,Craft-repair, Not-in-family,*,Male,0,0,40,United-States, <=50K
4615,8262,"[30, 35[",Private,226665,Bachelors,13,Married-civ-spouse,Exec-managerial, Husband,*,Male,0,0,42,United-States, >50K
4616,8263,"[50, 55[",Private,213209,Some-college,10,Married-civ-spouse,Craft-repair, Husband,*,Male,0,0,40,United-States, >50K
4617,8264,"[45, 50[",Private,211005,Some-college,10,Married-civ-spouse,Machine-op-inspct, Husband,*,Male,0,0,60,United-States, <=50K
4618,8265,"[20, 25[",Private,96178,Bachelors,13,Never-married,Adm-clerical, Own-child,*,Female,0,0,40,United-States, <=50K
4619,8266,"[45, 50[",Private,328216,Bachelors,13,Married-civ-spouse,Exec-managerial, Husband,*,Male,15024,0,40,United-States, >50K
4620,8267,"[35, 40[",Private,110713,Bachelors,13,Married-civ-spouse,Sales, Husband,*,Male,0,0,50,United-States, >50K
4621,8268,"[45, 50[",Self-emp-not-inc,225456,Bachelors,13,Married-civ-spouse,Exec-managerial, Husband,*,Male,0,0,50,United-States, >50K
4622,8270,"[40, 45[",Private,118308,Bachelors,13,Married-civ-spouse,Prof-specialty, Husband,*,Male,0,1977,50,United-States, >50K
4623,8272,"[60, 65[",Self-emp-not-inc,39630,HS-grad,9,Married-civ-spouse,Sales, Husband,*,Male,0,0,40,United-States, <=50K
4624,8276,"[20, 25[",Private,664670,HS-grad,9,Never-married,Craft-repair, Own-child,*,Male,0,0,40,United-States, <=50K
4625,8277,"[40, 45[",Private,209149,HS-grad,9,Divorced,Other-service, Not-in-family,*,Female,0,0,35,United-States, <=50K
4626,8278,"[25, 30[",Private,84619,Bachelors,13,Married-civ-spouse,Craft-repair, Husband,*,Male,0,0,40,United-States, >50K
4627,8279,"[35, 40[",Private,447346,HS-grad,9,Married-civ-spouse,Sales, Husband,*,Male,0,0,50,United-States, >50K
4628,8283,"[35, 40[",Private,326886,Assoc-voc,11,Married-civ-spouse,Exec-managerial, Husband,*,Male,0,0,45,United-States, >50K
4629,8284,"[15, 20[",Private,181755,HS-grad,9,Never-married,Sales, Not-in-family,*,Male,0,0,30,United-States, <=50K
4630,8286,"[35, 40[",Self-emp-not-inc,326400,Masters,14,Never-married,Prof-specialty, Not-in-family,*,Male,0,0,40,United-States, <=50K
4631,8289,"[40, 45[",Self-emp-not-inc,170721,HS-grad,9,Married-civ-spouse,Craft-repair, Husband,*,Male,0,2002,40,United-States, <=50K
4632,8290,"[50, 55[",Private,148953,HS-grad,9,Married-civ-spouse,Transport-moving, Husband,*,Male,0,0,50,United-States, >50K
4633,8291,"[15, 20[",Private,342752,11th,7,Never-married,Handlers-cleaners, Own-child,*,Male,0,0,20,United-States, <=50K
4634,8296,"[25, 30[",Private,152231,Some-college,10,Married-civ-spouse,Machine-op-inspct, Husband,*,Male,0,0,45,United-States, <=50K
4635,8297,"[20, 25[",?,41356,Some-college,10,Never-married,?, Not-in-family,*,Female,0,0,40,United-States, <=50K
4636,8298,"[25, 30[",Private,225142,Some-college,10,Never-married,Craft-repair, Own-child,*,Male,0,0,40,United-States, <=50K
4637,8299,"[20, 25[",Self-emp-not-inc,121313,HS-grad,9,Never-married,Craft-repair, Own-child,*,Male,0,0,40,United-States, <=50K
4638,8300,"[25, 30[",Private,134821,HS-grad,9,Never-married,Adm-clerical, Own-child,*,Female,0,0,40,United-States, <=50K
4639,8301,"[50, 55[",Private,311350,Bachelors,13,Married-civ-spouse,Exec-managerial, Husband,*,Male,0,0,40,United-States, >50K
4640,8306,"[25, 30[",Private,212800,Some-college,10,Never-married,Sales, Own-child,*,Female,0,0,40,United-States, <=50K
4641,8308,"[35, 40[",Private,31438,11th,7,Married-civ-spouse,Transport-moving, Husband,*,Male,0,0,43,United-States, <=50K
4642,8309,"[45, 50[",Private,148254,HS-grad,9,Divorced,Exec-managerial, Not-in-family,*,Female,0,0,60,United-States, <=50K
4643,8311,"[65, 70[",Private,106595,HS-grad,9,Widowed,Adm-clerical, Not-in-family,*,Female,1848,0,40,United-States, <=50K
4644,8312,"[25, 30[",Private,144521,HS-grad,9,Never-married,Other-service, Own-child,*,Female,0,0,40,United-States, <=50K
4645,8313,"[20, 25[",Private,172232,HS-grad,9,Never-married,Adm-clerical, Own-child,*,Male,0,0,48,United-States, <=50K
4646,8315,"[25, 30[",Private,191921,Some-college,10,Never-married,Transport-moving, Own-child,*,Male,0,0,40,United-States, <=50K
4647,8317,"[15, 20[",Private,208463,HS-grad,9,Never-married,Sales, Own-child,*,Female,0,0,20,United-States, <=50K
4648,8318,"[50, 55[",Federal-gov,68985,HS-grad,9,Married-civ-spouse,Adm-clerical, Husband,*,Male,0,0,40,United-States, <=50K
4649,8321,"[50, 55[",Private,153870,Some-college,10,Married-civ-spouse,Transport-moving, Husband,*,Male,0,2603,40,United-States, <=50K
4650,8322,"[20, 25[",?,124954,Some-college,10,Never-married,?, Own-child,*,Male,0,0,30,United-States, <=50K
4651,8323,"[45, 50[",Private,197702,Some-college,10,Married-civ-spouse,Craft-repair, Husband,*,Male,0,0,40,United-States, <=50K
4652,8324,"[25, 30[",Private,166415,HS-grad,9,Never-married,Transport-moving, Unmarried,*,Male,0,0,52,United-States, <=50K
